node	name	taxa_level	n_descendants	prop_descendants_w_name	other_names	other_props	full_taxonomy	full_taxonomy_levels	habitat	habitat_probability	cellularity	cellularity_probability	genes_present	genes_gained	domains_present	domains_gained	KEGG_pathways_present	KEGG_pathways_gained	Reactome_pathways_present	Reactome_pathways_gained	nodes_in_results
564	Piroplasmida	order	2	1	NA	NA	cellular organisms, Eukaryota, Sar, Alveolata, Apicomplexa, Aconoidasida, Piroplasmida	no rank, superkingdom, clade, clade, phylum, class, order	Host-associated	0.99	Unicellular	0.76	2474	457	1535	44	24.06010577228464	0.7575109882385712	143.50467871729643	7.373502347654746	n
565	Eukaryota	superkingdom	182	1	Opisthokonta	0.822222222222222	cellular organisms, Eukaryota	no rank, superkingdom	Aquatic	1	Unicellular	0.99	1852	100	2229	62	25.891955361406875	20.133384651373888	181.90715799058995	13.872831208343174	n
566	Eukaryota	superkingdom	25	1	Viridiplantae	0.92	cellular organisms, Eukaryota	no rank, superkingdom	Aquatic	0.99	Unicellular	0.6	2491	642	2584	359	47.45136957899552	21.55941421758864	190.68377006385268	14.81087568816009	n
567	Rhodophyta	phylum	2	1	NA	NA	cellular organisms, Eukaryota, Rhodophyta	no rank, superkingdom, phylum	Aquatic	0.99	Unicellular	0.55	2802	465	2568	139	52.316854407720434	4.8509920751017335	212.64848167608008	29.971952197384045	n
568	Viridiplantae	kingdom	23	1	Streptophyta, Streptophytina, Embryophyta	0.826086956521739, 0.826086956521739, 0.826086956521739	cellular organisms, Eukaryota, Viridiplantae	no rank, superkingdom, kingdom	Aquatic	0.96	Unicellular	0.31	3662	1189	3077	498	58.177521591641444	10.726152012645931	213.21355240247647	32.348011461837835	n
569	Chlorophyta	phylum	4	1	NA	NA	cellular organisms, Eukaryota, Viridiplantae, Chlorophyta	no rank, superkingdom, kingdom, phylum	Aquatic	1	Unicellular	0.34	3990	361	3160	102	59.7236901804801	1.5545019221719865	217.35890417556223	13.367005536975501	n
570	core chlorophytes	clade	2	1	NA	NA	cellular organisms, Eukaryota, Viridiplantae, Chlorophyta, core chlorophytes	no rank, superkingdom, kingdom, phylum, clade	Aquatic	1	Unicellular	0.38	5120	1159	3454	320	66.19781384262622	6.5519596456424845	243.1649189809711	29.13441979687657	n
571	Mamiellales	order	2	1	NA	NA	cellular organisms, Eukaryota, Viridiplantae, Chlorophyta, Mamiellophyceae, Mamiellales	no rank, superkingdom, kingdom, phylum, class, order	Aquatic	1	Unicellular	0.38	4895	1085	3174	157	59.98233615548986	2.008237504166254	225.71157007469787	18.761612471813635	n
572	Embryophyta	clade	19	1	Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida	0.894736842105263, 0.842105263157895, 0.842105263157895, 0.842105263157895	cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta	no rank, superkingdom, kingdom, phylum, subphylum, clade	Terrestrial	0.99	Multicellular	0.99	5703	2062	3897	837	72.42868266174564	14.251161070104187	247.8713696307527	35.31701574739868	y
573	Embryophyta	clade	3	1	NA	NA	cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta	no rank, superkingdom, kingdom, phylum, subphylum, clade	Terrestrial	0.99	Multicellular	1	6117	427	4016	123	72.02244074993169	NA	259.2345341684533	19.446805064657926	n
